cod_distrito,tipo_accidente,estado_meteorológico,coordenada_x_utm,coordenada_y_utm,fecha_month,fecha_day,hora_hour,hora_minute,sexo_Mujer,sexo_Hombre,sexo_Desconocido,tipo_vehiculo_movilidad_urbana_ligera,tipo_vehiculo_vehículos_ligeros_motorizados,tipo_vehiculo_vehículos_personales_y_utilitarios,tipo_vehiculo_transporte_pesado,tipo_vehiculo_remolques,tipo_vehiculo_sin_especificar,rango_edad_0,rango_edad_0-17,rango_edad_18-24,rango_edad_25-34,rango_edad_35-44,rango_edad_45-59,rango_edad_60+,tipo_persona_Conductor,tipo_persona_Pasajero,tipo_persona_Peatón,positiva_alcohol,cod_lesividad
2,7,3,441020.0,4471362.0,1,4,6,15,0,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0
13,3,5,443622.0,4471898.0,1,4,8,40,1,2,0,0,1,2,0,0,0,0,0,0,2,1,0,0,2,1,0,0,2
11,8,3,438616.0,4470987.0,1,4,8,20,0,1,2,0,0,3,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0
20,9,5,451355.0,4477763.0,1,3,14,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
20,0,0,446943.0,4475242.0,1,4,9,25,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1
9,4,5,437889.0,4477306.0,1,4,8,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
3,7,5,441561.0,4474534.0,1,4,10,30,1,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0
15,0,5,445595.0,4475853.0,1,4,10,40,1,2,0,0,0,3,0,0,0,0,0,1,0,0,0,2,2,1,0,0,1
8,4,5,441036.0,4482081.0,1,4,12,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
11,7,5,436952.0,4468356.0,1,4,12,0,1,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0
15,3,5,444883.0,4477639.0,1,4,11,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1
6,7,0,441028.0,4477667.0,1,4,12,35,1,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
1,3,3,439672.0,4473286.0,1,4,11,30,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,3
15,4,3,445778.0,4476639.0,1,4,13,28,0,2,1,0,0,2,1,0,0,1,0,0,1,1,0,0,2,1,0,0,4
8,6,3,439330.0,4480779.0,1,3,21,40,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1
17,6,6,439495.0,4465170.0,1,4,14,49,1,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0
11,3,3,438969.0,4470251.0,1,4,13,50,2,1,0,0,2,1,0,0,0,0,0,0,0,2,1,0,2,1,0,0,2
2,0,2,442552.0,4471643.0,1,4,14,30,2,1,0,0,0,3,0,0,0,0,0,1,1,0,1,0,2,1,0,0,4
10,6,5,435331.0,4471167.0,1,3,21,25,2,1,0,0,0,3,0,0,0,0,0,2,1,0,0,0,2,1,0,0,0
1,2,3,440035.0,4474201.0,1,4,16,10,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,1,0,2
20,6,3,450368.0,4477461.0,1,4,16,10,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,3
5,0,6,443060.0,4480214.0,1,4,15,45,3,2,0,0,0,5,0,0,0,0,2,1,0,0,2,0,2,3,0,0,0
4,9,2,443976.0,4475480.0,1,4,14,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1,2,3,440985.0,4474604.0,1,4,14,33,1,2,0,0,0,3,0,0,0,0,0,0,0,1,2,0,1,1,1,0,2
14,6,3,444309.0,4473662.0,1,4,17,10,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
1,0,5,439957.0,4474829.0,1,3,16,8,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,2,0,0,0,1
19,6,3,447791.0,4473208.0,1,4,17,36,1,2,0,0,1,2,0,0,0,0,0,0,1,0,0,2,2,1,0,0,4
4,3,3,441676.0,4475416.0,1,4,18,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
3,0,3,442499.0,4473192.0,1,4,14,20,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,0,0,0,2
1,6,3,440079.0,4474680.0,1,4,15,35,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
12,7,3,439647.0,4468673.0,1,4,17,40,4,3,0,0,0,7,0,0,0,0,4,0,0,1,2,0,2,5,0,0,2
14,8,3,444304.0,4474429.0,1,4,18,35,0,3,1,0,0,4,0,0,0,1,0,0,1,0,2,0,4,0,0,0,0
1,4,0,440206.0,4474584.0,1,2,17,30,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
12,0,6,438822.0,4468521.0,1,4,18,30,0,2,0,0,0,2,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0
17,4,3,441744.0,4466092.0,1,4,19,45,0,1,1,0,0,2,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0
15,3,3,445865.0,4475747.0,1,4,18,55,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4
